Plant,Year,Treatment,Mean,SD
Stalk,2019,Xyway In-furrow,0.077633686,0.077022723
Root,2019,Xyway In-furrow,0.466930071,0.684152365
E+6,2019,Xyway In-furrow,0.290023038,0.307147305
E+5,2019,Xyway In-furrow,0.33053621,0.365497503
E+4,2019,Xyway In-furrow,0.17815747,0.174095937
E+3,2019,Xyway In-furrow,0.482163838,0.419293332
E+2,2019,Xyway In-furrow,0.395605103,0.28616355
E+1,2019,Xyway In-furrow,1.481037431,1.993008863
E,2019,Xyway In-furrow,1.081307877,0.852943836
E-1,2019,Xyway In-furrow,1.21301027,NA
E-2,2019,Xyway In-furrow,0.792311365,0.50974058
E-3,2019,Xyway In-furrow,0.272166908,0.188147642
E-4,2019,Xyway In-furrow,0.497579198,0.290824758
E-5,2019,Xyway In-furrow,0.267133695,0.134459712
E-6,2019,Xyway In-furrow,0.245695949,0.231026675
E-7,2019,Xyway In-furrow,0.381352665,0.380411345
Stalk,2020,Xyway In-furrow,0.012473953,0.015760826
Root,2020,Xyway In-furrow,0.026676984,0.026642036
E+8,2020,Xyway In-furrow,0.166189301,0.138754043
E+7,2020,Xyway In-furrow,0.064126118,0.055306516
E+6,2020,Xyway In-furrow,0.041946008,0.044730705
E+5,2020,Xyway In-furrow,0.009553332,0.008966698
E+4,2020,Xyway In-furrow,0.013866438,0.003906458
E+3,2020,Xyway In-furrow,0.01719506,0.011429557
E+2,2020,Xyway In-furrow,0.016473299,0.019505467
E+1,2020,Xyway In-furrow,0.011261438,0.006029864
E,2020,Xyway In-furrow,0.029325422,0.04503184
E-1,2020,Xyway In-furrow,0.034459765,0.018324593
E-2,2020,Xyway In-furrow,0.021752636,0.007611225
E-3,2020,Xyway In-furrow,0.025526366,0.010406226
E-4,2020,Xyway In-furrow,0.023852645,0.018901965
E-5,2020,Xyway In-furrow,0.0122656,0.017671643
E-6,2020,Xyway In-furrow,0.015608939,0.011444228
Stalk,2020,Xyway 2x2,0.014815979,0.010441825
Root,2020,Xyway 2x2,0.009685171,0.01131106
E+7,2020,Xyway 2x2,0.200574803,0.05569389
E+6,2020,Xyway 2x2,0.046791641,0.036699997
E+5,2020,Xyway 2x2,0.083058589,0.084772021
E+4,2020,Xyway 2x2,0.025137393,0.029049988
E+3,2020,Xyway 2x2,0.042084132,0.01942019
E+2,2020,Xyway 2x2,0.018853452,0.019363043
E+1,2020,Xyway 2x2,0.048898653,0.041051608
E,2020,Xyway 2x2,0.02119141,0.032426856
E-1,2020,Xyway 2x2,0.028681052,0.037228753
E-2,2020,Xyway 2x2,0.038730549,0.057560831
E-3,2020,Xyway 2x2,0.018507364,0.029216011
E-4,2020,Xyway 2x2,0.017572017,0.023534342
E-5,2020,Xyway 2x2,0.056456535,0.065936749
E-6,2020,Xyway 2x2,0.035076268,0.039947021
Stalk,2020,Lucento,0.009813704,0.005414044
Root,2020,Lucento,0.012849861,0.009834655
E+7,2020,Lucento,0.154693021,0.1254563
E+6,2020,Lucento,0.154693021,0.1254563
E+5,2020,Lucento,0.033967798,0.013645134
E+4,2020,Lucento,0.037534518,0.05671032
E+3,2020,Lucento,0.038851255,0.051951326
E+2,2020,Lucento,0.099671227,0.11026492
E+1,2020,Lucento,0.021652207,0.012789169
E,2020,Lucento,0.027990878,0.034488446
E-1,2020,Lucento,0.028441822,0.029334489
E-2,2020,Lucento,0.02538396,0.02387861
E-3,2020,Lucento,0.017025296,0.013720721
E-4,2020,Lucento,0.010442746,0.008977674
E-5,2020,Lucento,0.0275185,0.032906316
E-6,2020,Lucento,0.024305472,0.023530202
Stalk,2021,Xyway In-furrow,1.746979971,1.558113508
Root,2021,Xyway In-furrow,3.772571122,3.140207843
E+7,2021,Xyway In-furrow,4.649162359,2.538296035
E+6,2021,Xyway In-furrow,1.839934226,1.782298114
E+5,2021,Xyway In-furrow,1.109010916,0.992594844
E+4,2021,Xyway In-furrow,1.751634914,0.8190293
E+3,2021,Xyway In-furrow,0.256108308,0.967337991
E+2,2021,Xyway In-furrow,1.409421549,0.376686186
E+1,2021,Xyway In-furrow,0.784480161,0.910932297
E,2021,Xyway In-furrow,0.979783123,0.712152728
E-1,2021,Xyway In-furrow,0.991116707,1.200734154
E-2,2021,Xyway In-furrow,0.337032564,0.524240201
E-3,2021,Xyway In-furrow,0.42256272,0.457054885
E-4,2021,Xyway In-furrow,1.138559124,0.106555304
E-5,2021,Xyway In-furrow,1.757864125,0.829041773
Stalk,2021,Xyway 2x2,0.432694736,0.23013177
Root,2021,Xyway 2x2,0.60398866,0.767811613
E+7,2021,Xyway 2x2,5.896888212,NA
E+6,2021,Xyway 2x2,5.203028673,5.462092085
E+5,2021,Xyway 2x2,2.745948881,2.132540822
E+4,2021,Xyway 2x2,3.642050532,3.847534236
E+3,2021,Xyway 2x2,4.47609349,1.7899999
E+2,2021,Xyway 2x2,3.808982673,3.142920085
E+1,2021,Xyway 2x2,4.716339143,3.738733923
E,2021,Xyway 2x2,3.9338047,3.350834952
E-1,2021,Xyway 2x2,2.026774525,3.278765819
E-2,2021,Xyway 2x2,1.935231302,3.231617277
E-3,2021,Xyway 2x2,2.000393188,3.143439379
E-4,2021,Xyway 2x2,3.067382768,3.628708985
E-5,2021,Xyway 2x2,2.345783391,3.682648959
Stalk,2021,Xyway 0x0,5.76248909,6.846993885
Root,2021,Xyway 0x0,5.589183309,66.73616388
E+7,2021,Xyway 0x0,9.94511982,5.144629793
E+6,2021,Xyway 0x0,4.540580385,5.05129266
E+5,2021,Xyway 0x0,4.901402484,6.15844117
E+4,2021,Xyway 0x0,12.50176833,8.165151107
E+3,2021,Xyway 0x0,6.078203092,10.23082664
E+2,2021,Xyway 0x0,8.673320606,7.412415899
E+1,2021,Xyway 0x0,9.035573083,10.8865631
E,2021,Xyway 0x0,5.126876961,4.217411108
E-1,2021,Xyway 0x0,9.143870417,7.109999407
E-2,2021,Xyway 0x0,12.71566196,9.846563854
E-3,2021,Xyway 0x0,14.60677095,10.94398458
E-4,2021,Xyway 0x0,9.549433792,6.746981075
E-5,2021,Xyway 0x0,11.83425365,11.32815913
