Year ,Treatment,AUDPC,Disease
2020,Untreated Check,1.17,GLS
2020,Untreated Check,3.38,GLS
2020,Untreated Check,5.115,GLS
2020,Xyway In-furrow,3.48486,GLS
2020,Xyway In-furrow,2.980075,GLS
2020,Xyway 2x2,0.965,GLS
2020,Xyway 2x2,1.47,GLS
2020,Xyway 2x2,3.949925,GLS
2020,Untreated Check,1.35,NLB
2020,Untreated Check,0.6,NLB
2020,Untreated Check,13.15,NLB
2020,Xyway In-furrow,1.35,NLB
2020,Xyway In-furrow,4.35,NLB
2020,Xyway 2x2,0,NLB
2020,Xyway 2x2,0,NLB
2020,Xyway 2x2,8.575,NLB
2021,Untreated Check,11.255,GLS
2021,Untreated Check,3.452,GLS
2021,Untreated Check,1.3515,GLS
2021,Untreated Check,3.8685,GLS
2021,Xyway In-furrow,1.03,GLS
2021,Xyway In-furrow,0,GLS
2021,Xyway In-furrow,1.835,GLS
2021,Xyway In-furrow,0,GLS
2021,Xyway 2x2,0,GLS
2021,Xyway 2x2,0.425,GLS
2021,Xyway 2x2,2.57,GLS
2021,Xyway 2x2,1.275,GLS
2021,Untreated Check,2.55,NLB
2021,Untreated Check,17.5,NLB
2021,Untreated Check,12.982,NLB
2021,Untreated Check,0,NLB
2021,Xyway In-furrow,0,NLB
2021,Xyway In-furrow,0,NLB
2021,Xyway In-furrow,6.15,NLB
2021,Xyway In-furrow,0,NLB
2021,Xyway 2x2,2.55,NLB
2021,Xyway 2x2,0,NLB
2021,Xyway 2x2,5.1,NLB
2021,Xyway 2x2,5.15,NLB
